2 2 0.01
2 4 0.01
2 8 0.01
2 16 0.01
2 32 0.01
2 64 0.01
2 128 0.01
2 256 0.02
4 2 0.00
4 4 0.00
4 8 0.00
4 16 0.00
4 32 0.01
4 64 0.01
4 128 0.01
4 256 0.02
8 2 0.01
8 4 0.00
8 8 0.00
8 16 0.01
8 32 0.01
8 64 0.01
8 128 0.01
8 256 0.02
16 2 0.00
16 4 0.00
16 8 0.00
16 16 0.00
16 32 0.01
16 64 0.01
16 128 0.01
16 256 0.03
32 2 0.01
32 4 0.01
32 8 0.01
32 16 0.01
32 32 0.01
32 64 0.01
32 128 0.01
32 256 0.07
64 2 0.01
64 4 0.01
64 8 0.01
64 16 0.01
64 32 0.01
64 64 0.01
64 128 0.01
64 256 0.09
128 2 0.01
128 4 0.01
128 8 0.01
128 16 0.01
128 32 0.01
128 64 0.01
128 128 0.12
128 256 0.11
256 2 0.01
256 4 0.02
256 8 0.02
256 16 0.04
256 32 0.09
256 64 0.14
256 128 0.13
256 256 0.13
512 2 0.01
512 4 0.02
512 8 0.02
512 16 0.03
512 32 0.04
512 64 0.10
512 128 0.10
512 256 0.14
1024 2 0.04
1024 4 0.04
1024 8 0.06
1024 16 0.14
1024 32 0.26
1024 64 0.75
1024 128 1.03
1024 256 1.12
2048 2 0.04
2048 4 0.04
2048 8 0.04
2048 16 0.08
2048 32 0.15
2048 64 0.47
2048 128 0.70
2048 256 0.63
4096 2 0.09
4096 4 0.09
4096 8 0.12
4096 16 0.52
4096 32 0.89
4096 64 1.81
4096 128 2.75
4096 256 4.50
8192 2 0.22
8192 4 0.40
8192 8 1.57
8192 16 2.30
8192 32 5.09
8192 64 9.09
8192 128 9.08
8192 256 10.85
16384 2 0.21
16384 4 0.22
16384 8 0.25
16384 16 1.07
16384 32 2.27
16384 64 4.13
16384 128 7.42
16384 256 12.33
32768 2 0.91
32768 4 0.90
32768 8 2.36
32768 16 12.73
32768 32 29.47
32768 64 77.93
32768 128 119.21
32768 256 79.60
65536 2 1.76
65536 4 1.89
65536 8 15.99
65536 16 34.83
65536 32 150.91
65536 64 216.91
65536 128 342.70
65536 256 537.96
