1 0 0.00
1 1 0.00
1 2 0.00
1 3 0.00
1 4 0.00
1 5 0.01
1 6 0.01
1 7 0.01
1 8 0.02
1 9 0.01
1 10 0.03
2 0 0.00
2 1 0.00
2 2 0.00
2 3 0.00
2 4 0.00
2 5 0.01
2 6 0.01
2 7 0.01
2 8 0.02
2 9 0.02
2 10 0.05
3 0 0.00
3 1 0.00
3 2 0.00
3 3 0.00
3 4 0.00
3 5 0.01
3 6 0.01
3 7 0.01
3 8 0.02
3 9 0.02
3 10 0.10
4 0 0.00
4 1 0.00
4 2 0.00
4 3 0.01
4 4 0.01
4 5 0.01
4 6 0.01
4 7 0.01
4 8 0.04
4 9 0.02
4 10 0.16
5 0 0.01
5 1 0.01
5 2 0.01
5 3 0.01
5 4 0.02
5 5 0.01
5 6 0.01
5 7 0.01
5 8 0.07
5 9 0.03
5 10 0.36
6 0 0.01
6 1 0.01
6 2 0.01
6 3 0.01
6 4 0.01
6 5 0.01
6 6 0.01
6 7 0.01
6 8 0.09
6 9 0.07
6 10 0.54
7 0 0.01
7 1 0.01
7 2 0.01
7 3 0.01
7 4 0.01
7 5 0.01
7 6 0.01
7 7 0.18
7 8 0.13
7 9 0.09
7 10 0.70
8 0 0.00
8 1 0.01
8 2 0.02
8 3 0.03
8 4 0.04
8 5 0.07
8 6 0.10
8 7 0.11
8 8 0.14
8 9 0.11
8 10 0.83
9 0 0.01
9 1 0.01
9 2 0.01
9 3 0.02
9 4 0.03
9 5 0.06
9 6 0.09
9 7 0.11
9 8 0.17
9 9 0.14
9 10 0.84
10 0 0.03
10 1 0.04
10 2 0.04
10 3 0.09
10 4 0.17
10 5 0.36
10 6 0.61
10 7 1.01
10 8 0.77
10 9 1.48
10 10 1.20
11 0 0.00
11 1 0.04
11 2 0.03
11 3 0.04
11 4 0.08
11 5 0.13
11 6 0.43
11 7 1.00
11 8 0.77
11 9 1.28
11 10 1.04
12 0 0.09
12 1 0.09
12 2 0.09
12 3 0.43
12 4 0.31
12 5 0.72
12 6 1.94
12 7 4.16
12 8 5.71
12 9 4.57
12 10 5.35
13 0 0.21
13 1 0.21
13 2 0.50
13 3 0.50
13 4 3.77
13 5 6.91
13 6 8.67
13 7 16.35
13 8 22.03
13 9 20.98
13 10 27.75
14 0 0.20
14 1 0.24
14 2 0.27
14 3 0.68
14 4 0.55
14 5 2.33
14 6 6.70
14 7 7.84
14 8 11.84
14 9 81.05
14 10 58.51
15 0 0.89
15 1 0.87
15 2 0.89
15 3 3.60
15 4 25.35
15 5 38.26
15 6 115.64
15 7 134.88
15 8 127.63
15 9 224.35
15 10 251.15
16 0 0.00
16 1 1.86
16 2 8.19
16 3 11.09
16 4 34.44
16 5 90.23
16 6 195.83
16 7 394.46
16 8 784.79
16 9 452.95
16 10 1147.56
